artigo_846,descricao_846,artigo_63,descricao_63
Art. 13. Inciso VII,"VII - deixar de assegurar livre acesso aos sistemas de transmissão ou distribuição de energia elétrica, ou de efetuar o atendimento a acessantes nos prazos e nas condições estabelecidas;",Art. 7°. Inciso VII,"VII - deixar de assegurar livre acesso, aos seus sistemas de transmissão e distribuição, a outros agentes do setor de energia elétrica e a consumidores não sujeitos à exclusividade do fornecimento;
"
Art. 13. Inciso XI,"XI - praticar conduta que atente contra a concorrência efetiva, o desenvolvimento normal das operações do mercado de energia elétrica ou a ordem econômica;",,
Art. 11. Inciso VIII,VIII - deixar de cumprir ao disposto nos Procedimentos de Rede;,Art. 6°. Inciso XVI,"XVI - deixar de observar os Procedimentos de Rede aprovados pela ANEEL;
"
Art. 12. Inciso III,III - deixar de atender pedido de serviços nos prazos e nas condições estabelecidas na legislação ou no contrato;,,
Art. 11. inciso XXI,"XXI - deixar de cumprir determinação da Diretoria Colegiada da ANEEL, no prazo estabelecido; ",,
Art. 12. Inciso V,"V - implantar, operar ou manter instalações de energia elétrica e os respectivos equipamentos de forma inadequada, em face dos requisitos legais, regulamentares ou contratuais aplicáveis;",Art. 5°. Inciso VIII,"VIII - descumprir as regras e procedimentos estabelecidos para a implantação ou operação das instalações de geração, transmissão e distribuição de energia elétrica;"
Art. 11. Inciso V,"V - deixar de enviar ou disponibilizar à ANEEL, nos prazos e nas condições estabelecidas na legislação, documentos ou informações econômicas e financeiras;",Art. 4°. Inciso XVII,"XVII - deixar de encaminhar à ANEEL, nos prazos e condições estabelecidos, as informações referentes aos contratos de compra e venda de energia elétrica negociados;"
Art. 11. Inciso VII,VII - deixar de cumprir ao disposto nos Procedimentos de Distribuição;,,
Art. 5. Inciso IX,IX - intervenção para adequação do serviço público de energia elétrica; ,,
Art. 12. Inciso II,II - deixar de realizar as obras essenciais à prestação de serviço adequado;,,
Art. 13. Inciso II,"II - provocar, dar causa ou permitir a propagação de distúrbio que ocasione o desligamento de consumidores ou usuários em decorrência de falha de planejamento ou de execução da manutenção ou operação de suas instalações, ou retardar o restabelecimento do sistema;",,
Art. 5. Inciso V,V - obrigação de fazer;,,
Art. 12. Inciso VI,"VI - deixar de realizar a contabilização em conformidade com as normas, procedimentos ou instruções legais ou regulamentares;",Art. 6°. Inciso IV,"IV - deixar de realizar a contabilização em conformidade com as normas, procedimentos e instruções específicas constantes de regulamento específico aplicável ao setor de energia elétrica;
"
Art. 12. Inciso V,"V - implantar, operar ou manter instalações de energia elétrica e os respectivos equipamentos de forma inadequada, em face dos requisitos legais, regulamentares ou contratuais aplicáveis;
",,
Art. 12. Inciso XII,"XII - deixar de atender ao mercado consumidor, de forma abrangente, nos termos da legislação ou da concessão, permissão ou autorização;",Art. 6°. Inciso XIII,"XIII - deixar de atender ao mercado consumidor, de forma abrangente, nos termos da legislação e do contrato de concessão;"
Art. 12. Inciso XI,XI - criar óbice ou dificuldade ao acesso às instalações ou à disponibilização de documentos ou a quaisquer outras fontes de informação necessárias à atividade de fiscalização;,,
Art. 11. inciso V,"V - deixar de enviar ou disponibilizar à ANEEL, nos prazos e nas condições estabelecidas na legislação, documentos ou informações econômicas e financeiras;",,
Art. 11. Inciso XI,"XI - deixar de cumprir ao disposto na Convenção, nas Regras, nos Procedimentos de Comercialização ou na Convenção Arbitral celebrada entre os agentes e a CCEE;",Art. 7°. Inciso XX,XX - descumprir o agente da CCEE obrigação estabelecida na Convenção de Comercialização de Energia Elétrica instituída pela ANEEL. (Redação acrescida pela Resolução Normativa nº 274/2007)
Art. 11. Inciso I,I - deixar de instituir ou de prover condições para o adequado funcionamento da Ouvidoria ou do Conselho de Consumidores;,Art. 5°. Inciso XX,XX - deixar de instituir Ouvidoria ou de prover condições para seu adequado funcionamento; (Redação acrescida pela Resolução Normativa nº 470/2011)
Art. 10 Inciso I,I - deixar de manter registro atualizado das reclamações e solicitações dos consumidores;,Art. 5°. Inciso II,"II - descumprir obrigações regulamentares ou contratuais de manter registro atualizado das reclamações e solicitações dos consumidores, com anotação da data e do motivo, bem como de informar ao interessado, no prazo estabelecido, as providências adotadas;"
Art. 12. Inciso II,II - deixar de realizar as obras essenciais à prestação de serviço adequado;,Art. 6°. Inciso III,"III - deixar de realizar as obras essenciais à prestação de serviço adequado;
"
